SEGMENTO	 	TIPO	NÚMERO SEI	CÓDIGO SIG	MÊS DE ENTREGA	STATUS	ORIGEM	OBSERVAÇÃO	STATUS	
Ambiente e Saúde	Nutrição Aplicada a Atividade Física	APERFEIÇOAMENTO 	2025.000001224-96	-	Abril	CPED - Falta Parecer de Precificação e atualização de assinaturas nos Planos de Curso. Verificar com a Mari a necessidade reenserir o Plano de Curso para todos assinarem novamente. 	Plano de Metas		NC - para precificação.	
Gestão e Negócios	Oratória experience - Comunique-se com  alta performance	PROGRAMAS SOCIOPROFISSIONAIS	2024.000005609-23		Fevereiro	PUBLICADO	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Design	Paisagismo e Jardinagem	APERFEIÇOAMENTO	2025.000000591-91		Fevereiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	entregue em fevereiro/Retificativo do plano de metas Fazer TR	CPED - pronto. Falta assinatura da Diretoria no Plano de Curso. 	
Tecnologia e Games	Photoshop para Mídias Sociais	APERFEIÇOAMENTO	2025.000000078-08		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E NO SIG COMO RASCUNHO	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Pizza de longa Fermentação	APERFEIÇOAMENTO	2025.000001134-03		Fevereiro	PUBLICADO	Plano de Metas	Em Processo de Elaboração/Retificativo plano de metas	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Pizzaiolo Inclusivo	APERFEIÇOAMENTO	2025.000000431-97		Fevereiro	CPED (Análise Despacho DEP - Plano de Curso antigo)	Plano de Metas	Cadastro DN	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E NO SIG COMO RASCUNHO	
Gastronomia	Pizzaiolo para pessoas com síndrome do down	QUALIFICAÇÃO	em criação	em criação	-	CPED	-	/Retificativo do plano de metas	PUBLICADO	
Beleza e Cuidado Pessoal	SPA dos Pés	APERFEIÇOAMENTO	2025.000000411-43		Abril	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO	
Gestão e Negócios	Porteiro e Vigia	QUALIFICAÇÃO	2024.000005492-88	123877	Dezembro	PUBLICADO	Plano de Metas	Finalizado	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Preparo de alimentos sem glúten	APERFEIÇOAMENTO	2025.000000590-18		Fevereiro	PUBLICADO	Plano de Metas	Retificativo plano de metas	PUBLICADO	
